#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	11	49	0	16	0	2494.5200000000004	OpenOptStrategyPlacement	0.11601591110229492
60	32	19	41	0	32	0	4081.8799999999997	OpenOptStrategyPlacement	0.17332196235656738
60	48	30	30	0	48	0	6319.920000000001	OpenOptStrategyPlacement	0.3632838726043701
60	64	37	23	0	64	0	7825.4800000000005	OpenOptStrategyPlacement	0.5349509716033936
60	80	41	19	0	80	0	8670.84	OpenOptStrategyPlacement	0.6992940902709961
60	96	51	9	0	96	0	10515.64	OpenOptStrategyPlacement	0.9723818302154541
60	112	60	0	0	110	2	12120.879999999997	OpenOptStrategyPlacement	1.381295919418335
60	128	60	0	0	120	8	12305.84	OpenOptStrategyPlacement	1.6428861618041992
60	144	60	0	0	127	17	12346.639999999996	OpenOptStrategyPlacement	2.0172500610351562
60	160	60	0	0	136	24	12501.679999999997	OpenOptStrategyPlacement	2.2739779949188232
60	176	60	0	0	144	32	13082.399999999994	OpenOptStrategyPlacement	2.64786696434021
60	192	60	0	0	150	42	12156.240000000002	OpenOptStrategyPlacement	3.0110249519348145
60	208	60	0	0	157	51	12787.279999999992	OpenOptStrategyPlacement	3.5038840770721436
60	224	60	0	0	166	58	12478.560000000001	OpenOptStrategyPlacement	4.08134913444519
60	240	60	0	0	176	64	13109.600000000008	OpenOptStrategyPlacement	4.41328501701355
60	256	60	0	0	182	74	12924.640000000005	OpenOptStrategyPlacement	5.089839935302734
60	272	60	0	0	192	80	13430.560000000001	OpenOptStrategyPlacement	5.490013122558594
60	288	60	0	0	196	92	13372.080000000002	OpenOptStrategyPlacement	6.014564037322998
