#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
50	16	5	45	0	16	0	1041.1599999999999	OpenOptStrategyPlacement	0.07839202880859375
50	32	13	37	0	32	0	2567.32	OpenOptStrategyPlacement	0.12655210494995117
50	48	16	34	0	48	0	3394.7999999999997	OpenOptStrategyPlacement	0.1855020523071289
50	64	22	28	0	64	0	4471.76	OpenOptStrategyPlacement	0.3095130920410156
50	80	28	22	0	80	0	5531.040000000001	OpenOptStrategyPlacement	0.4498169422149658
50	96	34	16	0	96	0	6578.079999999998	OpenOptStrategyPlacement	0.6733729839324951
50	112	41	9	0	112	0	8331.159999999998	OpenOptStrategyPlacement	0.8812370300292969
50	128	43	7	0	128	0	8842.919999999998	OpenOptStrategyPlacement	1.0532112121582031
50	144	48	2	0	144	0	9998.56	OpenOptStrategyPlacement	1.5659301280975342
50	160	50	0	0	159	1	10640.88	OpenOptStrategyPlacement	1.7978489398956299
50	176	50	0	0	166	10	10609.600000000002	OpenOptStrategyPlacement	2.1670548915863037
50	192	50	0	0	179	13	10934.640000000003	OpenOptStrategyPlacement	2.32942795753479
50	208	50	0	0	192	16	11127.760000000002	OpenOptStrategyPlacement	2.5423810482025146
50	224	50	0	0	200	24	11169.920000000002	OpenOptStrategyPlacement	3.5891520977020264
50	240	50	0	0	208	32	11074.720000000005	OpenOptStrategyPlacement	3.1922619342803955
50	256	50	0	0	214	42	11233.840000000002	OpenOptStrategyPlacement	3.6834969520568848
50	272	50	0	0	222	50	11233.840000000004	OpenOptStrategyPlacement	4.228946924209595
50	288	50	0	0	231	57	11096.48	OpenOptStrategyPlacement	4.53561806678772
